Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,ResultSpeed,ResultDir,AvgSpeed
1,5/1/2007,83,50,67,14,51,56,0,2, ,0,M,0,0,29.1,1.7,27,9.2
2,5/1/2007,84,52,68,M,51,57,0,3, ,M,M,M,0,29.18,2.7,25,9.6
1,5/2/2007,59,42,51,-3,42,47,14,0,BR,0,M,0,0,29.38,13,4,13.4
2,5/2/2007,60,43,52,M,42,47,13,0,BR HZ,M,M,M,0,29.44,13.3,2,13.4
1,5/3/2007,66,46,56,2,40,48,9,0, ,0,M,0,0,29.39,11.7,7,11.9
2,5/3/2007,67,48,58,M,40,50,7,0,HZ,M,,M,0,29.46,12.9,6,13.2
1,5/4/2007,66,49,58,4,41,50,7,0,RA,0,M,0,0,29.31,10.4,8,10.8
2,5/4/2007,78,51,65,M,42,50,M,M, ,M,M,M,0,29.36,10.1,7,10.4
1,5/5/2007,66,53,60,5,38,49,5,0, ,0,M,0,0,29.4,11.7,7,12
2,5/5/2007,66,54,60,M,39,50,5,0, ,M,M,M,0,29.46,11.2,7,11.5
1,5/6/2007,68,49,59,4,30,46,6,0, ,0,M,0,0,29.57,14.4,11,15
2,5/6/2007,68,52,60,M,30,46,5,0, ,M,M,M,0,29.62,13.8,10,14.5
1,5/7/2007,83,47,65,10,41,54,0,0,RA,0,M,0,0,29.38,8.6,18,10.5
2,5/7/2007,84,50,67,M,39,53,0,2, ,M,M,M,0,29.44,8.5,17,9.9
1,5/8/2007,82,54,68,12,58,62,0,3,BR,0,M,0,0,29.29,2.7,11,5.8
2,5/8/2007,80,60,70,M,57,63,0,5,HZ,M,M,M,0,29.36,2.5,8,5.4
1,5/9/2007,77,61,69,13,59,63,0,4,BR HZ,0,M,0,0.13,29.21,3.9,9,6.2
2,5/9/2007,76,63,70,M,60,63,0,5,BR HZ,M,M,M,0.02,29.28,3.9,7,5.9
1,5/10/2007,84,56,70,14,52,60,0,5,BR,0,M,0,0,29.2,0.7,17,4.1
2,5/10/2007,83,59,71,M,52,61,0,6,BR HZ,M,M,M,0,29.26,2,9,3.9
1,5/11/2007,70,51,61,4,42,51,4,0, ,0,M,0,0,29.33,11.3,3,12.9
2,5/11/2007,73,49,61,M,44,51,4,0, ,M,M,M,0,29.39,11.7,36,12.8
1,5/12/2007,64,46,55,-2,36,46,10,0, ,0,M,0,0,29.49,12.4,3,12.9
2,5/12/2007,65,47,56,M,37,46,9,0, ,M,M,M,0,29.54,12.7,1,13
1,5/13/2007,69,43,56,-2,33,46,9,0, ,0,M,0,0,29.49,6.6,14,8.1
2,5/13/2007,69,44,57,M,32,46,8,0, ,M,M,M,0,29.55,6.4,11,7.6
1,5/14/2007,90,56,73,15,47,59,0,8, ,0,M,0,0,29.23,16.9,21,17.3
2,5/14/2007,90,54,72,M,45,58,0,7, ,M,M,M,0,29.31,14.1,21,14.6
1,5/15/2007,80,57,69,11,56,61,0,4,RA BR,0,M,0,0.38,29.13,8.1,27,12.3
2,5/15/2007,82,56,69,M,56,61,0,4,TSRA RA BR,M,M,M,0.6,29.19,8.1,25,10.8
1,5/16/2007,66,44,55,-4,43,48,10,0,RA BR,0,M,0,0.14,29.33,7.8,36,12.2
2,5/16/2007,64,45,55,M,42,47,10,0,RA BR,M,M,M,0.07,29.39,8,36,11.8
1,5/17/2007,62,43,53,-6,32,43,12,0, ,0,M,0,0,29.55,10.5,3,11.3
2,5/17/2007,61,44,53,M,32,43,12,0, ,M,M,M,0,29.62,11.7,1,12.2
1,5/18/2007,71,42,57,-3,30,46,8,0, ,0,M,0,0,29.53,5.4,25,7.5
2,5/18/2007,70,43,57,M,31,47,8,0, ,M,M,M,0,29.6,3.4,22,5.5
1,5/19/2007,80,56,68,8,39,53,0,3, ,0,M,0,0,29.34,11.1,24,11.4
2,5/19/2007,80,56,68,M,37,53,0,3, ,M,M,M,0,29.41,11.1,23,11.4
1,5/20/2007,69,43,56,-5,40,44,9,0,RA VCTS,0,M,0,0.07,29.38,10.4,4,10.7
2,5/20/2007,69,44,57,M,41,45,8,0,TSRA RA,M,M,M,0.11,29.44,8.6,3,9.7
1,5/21/2007,80,44,62,1,50,56,3,0, ,0,M,0,0,29.33,6.3,11,8.2
2,5/21/2007,79,46,63,M,50,57,2,0, ,M,M,M,0,29.39,6.3,10,7.8
1,5/22/2007,87,55,71,10,46,58,0,6, ,0,M,0,0,29.34,10,18,10.2
